destination_port,flow_duration,total_fwd_packets,total_backward_packets,total_fwd_bytes,total_backward_bytes,flow_bytes_per_second,flow_packets_per_second,syn_flag_count,ack_flag_count,fwd_iat_mean,bwd_iat_mean,is_attack
53.0,25525.0,2.0,2.0,68.0,132.0,7835.455436,156.7091087,0.0,0.0,4.0,3.0,0
53.0,171.0,2.0,2.0,46.0,196.0,1415204.678,23391.81287,0.0,0.0,4.0,49.0,0
53.0,26386.0,2.0,2.0,68.0,190.0,9777.912529,151.5955431,0.0,0.0,1.0,4.0,0
137.0,1582026.0,28.0,0.0,1400.0,0.0,884.9412083,17.69882417,0.0,0.0,58593.55556,0.0,0
53.0,302.0,2.0,2.0,68.0,190.0,854304.6358,13245.03311,0.0,0.0,1.0,47.0,0
53.0,257.0,2.0,2.0,68.0,132.0,778210.1167,15564.20233,0.0,0.0,3.0,48.0,0
389.0,487.0,11.0,4.0,172.0,326.0,1022587.269,30800.82136,0.0,0.0,48.7,89.33333333,0
88.0,1206.0,10.0,7.0,3150.0,3152.0,5225538.972,14096.18574,0.0,0.0,134.0,185.5,0
389.0,27779.0,17.0,11.0,3450.0,6654.0,363727.996,1007.95565,0.0,0.0,1736.1875,2761.4,0
88.0,1133.0,9.0,6.0,3150.0,3152.0,5562224.184,13239.188,0.0,0.0,141.625,206.4,0
389.0,118034439.0,106.0,61.0,17896.0,27110.0,381.2954963,1.414841307,0.0,0.0,1124137.514,1966591.283,0
53.0,214.0,2.0,2.0,64.0,96.0,747663.5514,18691.58879,0.0,0.0,49.0,48.0,0
53.0,190.0,2.0,2.0,102.0,224.0,1715789.474,21052.63158,0.0,0.0,187.0,1.0,0
53.0,197.0,2.0,2.0,88.0,188.0,1401015.228,20304.56853,0.0,0.0,50.0,48.0,0
53.0,210.0,2.0,2.0,64.0,96.0,761904.7619,19047.61905,0.0,0.0,49.0,49.0,0
53.0,202.0,2.0,2.0,102.0,224.0,1613861.386,19801.9802,0.0,0.0,48.0,49.0,0
53.0,350.0,4.0,4.0,116.0,116.0,662857.1429,22857.14286,0.0,0.0,67.33333333,82.0,0
53.0,163.0,2.0,2.0,64.0,158.0,1361963.19,24539.8773,0.0,0.0,1.0,2.0,0
53.0,191.0,2.0,2.0,64.0,96.0,837696.3351,20942.40838,0.0,0.0,4.0,49.0,0
53.0,163.0,2.0,2.0,88.0,188.0,1693251.534,24539.8773,0.0,0.0,4.0,48.0,0
53.0,203.0,2.0,2.0,88.0,188.0,1359605.911,19704.4335,0.0,0.0,47.0,48.0,0
53.0,171.0,2.0,2.0,88.0,188.0,1614035.088,23391.81287,0.0,0.0,3.0,48.0,0
53.0,167.0,2.0,2.0,64.0,158.0,1329341.317,23952.09581,0.0,0.0,1.0,2.0,0
53.0,163.0,2.0,2.0,64.0,158.0,1361963.19,24539.8773,0.0,0.0,1.0,1.0,0
53.0,162.0,2.0,2.0,64.0,158.0,1370370.37,24691.35802,0.0,0.0,1.0,1.0,0
88.0,14114.0,2.0,2.0,500.0,2860.0,238061.4992,283.4065467,0.0,0.0,49.0,47.0,0
53.0,205.0,2.0,2.0,88.0,188.0,1346341.463,19512.19512,0.0,0.0,49.0,48.0,0
53.0,197.0,2.0,2.0,102.0,224.0,1654822.335,20304.56853,0.0,0.0,48.0,48.0,0
53.0,166.0,2.0,2.0,64.0,158.0,1337349.398,24096.38554,0.0,0.0,1.0,1.0,0
53.0,236.0,2.0,2.0,64.0,158.0,940677.9661,16949.15254,0.0,0.0,1.0,1.0,0
88.0,411.0,2.0,2.0,352.0,358.0,1727493.917,9732.360097,0.0,0.0,49.0,48.0,0
53.0,201.0,2.0,2.0,88.0,188.0,1373134.328,19900.49751,0.0,0.0,49.0,48.0,0
53.0,204.0,2.0,2.0,88.0,188.0,1352941.176,19607.84314,0.0,0.0,48.0,48.0,0
53.0,244.0,2.0,2.0,80.0,180.0,1065573.77,16393.44262,0.0,0.0,3.0,48.0,0
88.0,674.0,2.0,2.0,500.0,2860.0,4985163.205,5934.718101,0.0,0.0,1.0,4.0,0
53.0,208.0,2.0,2.0,88.0,188.0,1326923.077,19230.76923,0.0,0.0,49.0,49.0,0
53.0,210.0,2.0,2.0,64.0,96.0,761904.7619,19047.61905,0.0,0.0,49.0,49.0,0
53.0,162.0,2.0,2.0,64.0,158.0,1370370.37,24691.35802,0.0,0.0,1.0,1.0,0
53.0,198.0,2.0,2.0,102.0,224.0,1646464.646,20202.0202,0.0,0.0,1.0,49.0,0
53.0,209.0,2.0,2.0,64.0,96.0,765550.2392,19138.75598,0.0,0.0,48.0,48.0,0
53.0,189.0,2.0,2.0,102.0,224.0,1724867.725,21164.02116,0.0,0.0,186.0,1.0,0
53.0,199.0,2.0,2.0,88.0,188.0,1386934.673,20100.50251,0.0,0.0,48.0,48.0,0
88.0,562.0,2.0,2.0,352.0,358.0,1263345.196,7117.437722,0.0,0.0,48.0,49.0,0
53.0,209.0,2.0,2.0,102.0,224.0,1559808.612,19138.75598,0.0,0.0,49.0,49.0,0
53.0,204.0,2.0,2.0,142.0,242.0,1882352.941,19607.84314,0.0,0.0,3.0,48.0,0
53.0,207.0,2.0,2.0,64.0,96.0,772946.8599,19323.6715,0.0,0.0,47.0,48.0,0
53.0,214.0,2.0,2.0,64.0,96.0,747663.5514,18691.58879,0.0,0.0,49.0,48.0,0
88.0,62.0,1.0,3.0,0.0,12.0,193548.3871,64516.12903,0.0,1.0,0.0,1.0,0
88.0,75.0,1.0,4.0,0.0,12.0,160000.0,66666.66667,0.0,1.0,0.0,24.66666667,0
53.0,209.0,2.0,2.0,80.0,180.0,1244019.139,19138.75598,0.0,0.0,48.0,48.0,0
53.0,210.0,2.0,2.0,64.0,96.0,761904.7619,19047.61905,0.0,0.0,49.0,47.0,0
53.0,203.0,2.0,2.0,88.0,188.0,1359605.911,19704.4335,0.0,0.0,49.0,47.0,0
389.0,75.0,1.0,4.0,0.0,24.0,320000.0,66666.66667,0.0,1.0,0.0,16.66666667,0
53.0,216.0,2.0,2.0,88.0,188.0,1277777.778,18518.51852,0.0,0.0,49.0,49.0,0
53.0,162.0,2.0,2.0,64.0,158.0,1370370.37,24691.35802,0.0,0.0,1.0,2.0,0
389.0,79.0,1.0,4.0,0.0,12.0,151898.7342,63291.13924,0.0,1.0,0.0,17.0,0
53.0,169.0,2.0,2.0,88.0,188.0,1633136.095,23668.63905,0.0,0.0,4.0,48.0,0
389.0,396.0,10.0,4.0,165.0,326.0,1239898.99,35353.53535,0.0,0.0,44.0,80.0,0
389.0,2.0,2.0,0.0,7.0,0.0,3500000.0,1000000.0,1.0,1.0,2.0,0.0,0
88.0,1086.0,9.0,6.0,3150.0,3152.0,5802946.593,13812.1547,0.0,0.0,135.75,173.8,0
3268.0,116446503.0,72.0,47.0,13380.0,15294.0,246.24183,1.021928499,0.0,0.0,1640091.592,2531443.761,0
53.0,23321.0,1.0,1.0,43.0,91.0,5745.894258,85.7596158,0.0,0.0,0.0,0.0,0
53.0,23458.0,1.0,1.0,50.0,114.0,6991.218348,85.25876034,0.0,0.0,0.0,0.0,0
53.0,83069.0,1.0,1.0,50.0,114.0,1974.26236,24.07637025,0.0,0.0,0.0,0.0,0
53.0,23478.0,1.0,1.0,50.0,105.0,6601.925207,85.1861317,0.0,0.0,0.0,0.0,0
53.0,47749.0,1.0,1.0,50.0,105.0,3246.14128,41.88569394,0.0,0.0,0.0,0.0,0
53.0,23888.0,1.0,1.0,43.0,99.0,5944.407234,83.72404555,0.0,0.0,0.0,0.0,0
53.0,23676.0,1.0,1.0,50.0,105.0,6546.713972,84.47372867,0.0,0.0,0.0,0.0,0
53.0,98479.0,1.0,1.0,50.0,162.0,2152.743224,20.30889834,0.0,0.0,0.0,0.0,0
53.0,207.0,2.0,2.0,48.0,48.0,463768.1159,19323.6715,0.0,0.0,49.0,48.0,0
53.0,77730.0,1.0,1.0,50.0,114.0,2109.86749,25.73009134,0.0,0.0,0.0,0.0,0
53.0,76978.0,2.0,2.0,78.0,206.0,3689.365793,51.96289849,0.0,0.0,4.0,4.0,0
53.0,76577.0,1.0,1.0,50.0,114.0,2141.635217,26.11750264,0.0,0.0,0.0,0.0,0
53.0,200.0,2.0,2.0,88.0,188.0,1380000.0,20000.0,0.0,0.0,47.0,48.0,0
53.0,196.0,2.0,2.0,88.0,188.0,1408163.265,20408.16327,0.0,0.0,49.0,48.0,0
53.0,98891.0,2.0,2.0,78.0,302.0,3842.614596,40.44857469,0.0,0.0,1.0,4.0,0
53.0,48159.0,2.0,2.0,78.0,188.0,5523.370502,83.05820304,0.0,0.0,1.0,4.0,0
32798.0,50.0,4.0,0.0,12.0,0.0,240000.0,80000.0,0.0,1.0,16.66666667,0.0,0
53.0,188.0,2.0,2.0,102.0,224.0,1734042.553,21276.59574,0.0,0.0,187.0,0.0,0
53.0,179.0,2.0,2.0,138.0,238.0,2100558.659,22346.36872,0.0,0.0,3.0,49.0,0
53.0,24079.0,2.0,2.0,78.0,206.0,11794.50974,166.1198555,0.0,0.0,47.0,47.0,0
53.0,201.0,2.0,2.0,102.0,224.0,1621890.547,19900.49751,0.0,0.0,49.0,49.0,0
53.0,210.0,2.0,2.0,64.0,96.0,761904.7619,19047.61905,0.0,0.0,48.0,48.0,0
53.0,202.0,2.0,2.0,88.0,188.0,1366336.634,19801.9802,0.0,0.0,49.0,48.0,0
53.0,212.0,2.0,2.0,64.0,96.0,754716.9811,18867.92453,0.0,0.0,49.0,48.0,0
53.0,78120.0,2.0,2.0,78.0,206.0,3635.432668,51.20327701,0.0,0.0,3.0,4.0,0
53.0,204.0,2.0,2.0,76.0,176.0,1235294.118,19607.84314,0.0,0.0,49.0,48.0,0
53.0,24101.0,2.0,2.0,78.0,188.0,11036.88644,165.9682171,0.0,0.0,1.0,4.0,0
53.0,180.0,2.0,2.0,48.0,48.0,533333.3333,22222.22222,0.0,0.0,3.0,48.0,0
53.0,23744.0,2.0,2.0,64.0,160.0,9433.962264,168.4636119,0.0,0.0,49.0,4.0,0
53.0,163.0,2.0,2.0,64.0,158.0,1361963.19,24539.8773,0.0,0.0,1.0,1.0,0
53.0,159.0,2.0,2.0,48.0,48.0,603773.5849,25157.2327,0.0,0.0,1.0,1.0,0
53.0,164.0,2.0,2.0,64.0,158.0,1353658.537,24390.2439,0.0,0.0,0.0,1.0,0
53.0,207.0,2.0,2.0,64.0,96.0,772946.8599,19323.6715,0.0,0.0,49.0,49.0,0
88.0,396.0,2.0,2.0,352.0,358.0,1792929.293,10101.0101,0.0,0.0,1.0,49.0,0
53.0,24282.0,2.0,2.0,64.0,176.0,9883.864591,164.7310765,0.0,0.0,1.0,4.0,0
53.0,167.0,2.0,2.0,64.0,158.0,1329341.317,23952.09581,0.0,0.0,0.0,0.0,0
53.0,165.0,2.0,2.0,88.0,188.0,1672727.273,24242.42424,0.0,0.0,3.0,48.0,0
53.0,159.0,2.0,2.0,102.0,224.0,2050314.465,25157.2327,0.0,0.0,3.0,48.0,0
88.0,60.0,1.0,4.0,0.0,12.0,200000.0,83333.33333,0.0,1.0,0.0,19.66666667,0
53.0,178.0,2.0,2.0,48.0,48.0,539325.8427,22471.91011,0.0,0.0,1.0,1.0,0
53.0,216.0,2.0,2.0,64.0,96.0,740740.7407,18518.51852,0.0,0.0,49.0,49.0,0
53.0,202.0,2.0,2.0,88.0,188.0,1366336.634,19801.9802,0.0,0.0,48.0,48.0,0
53.0,83483.0,2.0,2.0,78.0,206.0,3401.890205,47.91394655,0.0,0.0,2.0,3.0,0
53.0,23891.0,2.0,2.0,78.0,188.0,11133.89979,167.4270646,0.0,0.0,1.0,4.0,0
53.0,179.0,2.0,2.0,80.0,180.0,1452513.966,22346.36872,0.0,0.0,3.0,48.0,0
88.0,711.0,2.0,2.0,500.0,2860.0,4725738.397,5625.879044,0.0,0.0,48.0,49.0,0
53.0,160.0,2.0,2.0,64.0,158.0,1387500.0,25000.0,0.0,0.0,1.0,1.0,0
53.0,199.0,2.0,2.0,88.0,188.0,1386934.673,20100.50251,0.0,0.0,49.0,48.0,0
123.0,110114746.0,10.0,10.0,480.0,480.0,8.718178399,0.181628717,0.0,0.0,12200000.0,12200000.0,0
123.0,112120720.0,10.0,10.0,480.0,480.0,8.562199743,0.178379161,0.0,0.0,12400000.0,12400000.0,0
123.0,112109546.0,10.0,10.0,480.0,480.0,8.563053141,0.17839694,0.0,0.0,12400000.0,12400000.0,0
123.0,86097296.0,9.0,9.0,432.0,432.0,10.03515836,0.209065799,0.0,0.0,10700000.0,10800000.0,0
123.0,19034529.0,3.0,3.0,144.0,144.0,15.13039803,0.315216626,0.0,0.0,9499992.5,9501255.0,0
5353.0,63752405.0,207.0,0.0,16807.0,0.0,263.6292701,3.246936331,0.0,0.0,309477.6942,0.0,0
123.0,84016084.0,8.0,8.0,384.0,384.0,9.141106839,0.190439726,0.0,0.0,12000000.0,12000000.0,0
123.0,68016619.0,8.0,8.0,384.0,384.0,11.29135807,0.235236627,0.0,0.0,9714286.429,9714302.714,0
389.0,364.0,10.0,4.0,165.0,326.0,1348901.099,38461.53846,0.0,0.0,40.44444444,93.0,0
88.0,1115.0,9.0,6.0,3110.0,3108.0,5576681.614,13452.9148,0.0,0.0,139.375,206.0,0
389.0,442.0,11.0,4.0,172.0,326.0,1126696.833,33936.65158,0.0,0.0,44.2,102.6666667,0
389.0,1052.0,10.0,4.0,165.0,326.0,466730.038,13307.98479,0.0,0.0,116.8888889,82.0,0
389.0,1.0,2.0,0.0,7.0,0.0,7000000.0,2000000.0,1.0,1.0,1.0,0.0,0
88.0,1059.0,9.0,6.0,3110.0,3108.0,5871576.959,14164.30595,0.0,0.0,132.375,193.4,0
88.0,1152.0,9.0,6.0,3186.0,3184.0,5529513.889,13020.83333,0.0,0.0,144.0,216.6,0
3268.0,10379564.0,46.0,27.0,9714.0,10004.0,1899.694438,7.033050714,0.0,0.0,230656.9778,399211.5,0
389.0,10998763.0,90.0,57.0,15266.0,21110.0,3307.28101,13.36513933,0.0,0.0,123581.6067,195689.5536,0
0.0,526858.0,4.0,0.0,0.0,0.0,0.0,7.592178538,0.0,0.0,175619.3333,0.0,0
0.0,95260141.0,10.0,0.0,0.0,0.0,0.0,0.1049757,0.0,0.0,10600000.0,0.0,0
53.0,191.0,2.0,2.0,88.0,188.0,1445026.178,20942.40838,0.0,0.0,1.0,4.0,0
53.0,174.0,2.0,2.0,88.0,188.0,1586206.897,22988.50575,0.0,0.0,3.0,3.0,0
53.0,167.0,2.0,2.0,142.0,242.0,2299401.198,23952.09581,0.0,0.0,4.0,4.0,0
53.0,172.0,2.0,2.0,76.0,176.0,1465116.279,23255.81395,0.0,0.0,4.0,48.0,0
53.0,160.0,2.0,2.0,64.0,96.0,1000000.0,25000.0,0.0,0.0,3.0,4.0,0
53.0,175.0,2.0,2.0,46.0,196.0,1382857.143,22857.14286,0.0,0.0,4.0,3.0,0
53.0,173.0,2.0,2.0,102.0,224.0,1884393.064,23121.38728,0.0,0.0,3.0,48.0,0
53.0,199.0,2.0,2.0,80.0,180.0,1306532.663,20100.50251,0.0,0.0,49.0,48.0,0
53.0,172.0,2.0,2.0,88.0,188.0,1604651.163,23255.81395,0.0,0.0,3.0,48.0,0
53.0,134.0,2.0,2.0,88.0,188.0,2059701.493,29850.74627,0.0,0.0,4.0,2.0,0
53.0,239.0,2.0,2.0,64.0,96.0,669456.0669,16736.40167,0.0,0.0,4.0,3.0,0
88.0,3370.0,2.0,2.0,512.0,2836.0,993471.8101,1186.94362,0.0,0.0,4.0,4.0,0
389.0,72.0,1.0,4.0,0.0,12.0,166666.6667,69444.44444,0.0,1.0,0.0,16.66666667,0
53.0,201.0,2.0,2.0,64.0,96.0,796019.9005,19900.49751,0.0,0.0,2.0,3.0,0
53.0,230.0,2.0,2.0,64.0,158.0,965217.3913,17391.30435,0.0,0.0,1.0,1.0,0
53.0,179.0,2.0,2.0,64.0,158.0,1240223.464,22346.36872,0.0,0.0,0.0,1.0,0
53.0,160.0,2.0,2.0,80.0,180.0,1625000.0,25000.0,0.0,0.0,3.0,4.0,0
53.0,176.0,2.0,2.0,88.0,188.0,1568181.818,22727.27273,0.0,0.0,3.0,4.0,0
53.0,154.0,2.0,2.0,64.0,96.0,1038961.039,25974.02597,0.0,0.0,4.0,48.0,0
53.0,151.0,2.0,2.0,88.0,188.0,1827814.57,26490.06623,0.0,0.0,3.0,4.0,0
53.0,158.0,2.0,2.0,102.0,224.0,2063291.139,25316.4557,0.0,0.0,4.0,3.0,0
53.0,161.0,2.0,2.0,102.0,224.0,2024844.72,24844.7205,0.0,0.0,3.0,47.0,0
88.0,921.0,2.0,2.0,2944.0,578.0,3824104.235,4343.10532,0.0,0.0,6.0,3.0,0
53.0,268.0,2.0,2.0,68.0,190.0,962686.5672,14925.37313,0.0,0.0,2.0,2.0,0
88.0,106.0,1.0,4.0,0.0,12.0,113207.5472,47169.81132,0.0,1.0,0.0,24.33333333,0
53.0,201.0,2.0,2.0,64.0,96.0,796019.9005,19900.49751,0.0,0.0,2.0,3.0,0
53.0,188.0,2.0,2.0,64.0,158.0,1180851.064,21276.59574,0.0,0.0,1.0,1.0,0
53.0,170.0,2.0,2.0,64.0,96.0,941176.4706,23529.41176,0.0,0.0,3.0,3.0,0
53.0,235.0,2.0,2.0,64.0,158.0,944680.8511,17021.2766,0.0,0.0,1.0,1.0,0
53.0,169.0,2.0,2.0,88.0,188.0,1633136.095,23668.63905,0.0,0.0,2.0,2.0,0
53.0,176.0,2.0,2.0,64.0,96.0,909090.9091,22727.27273,0.0,0.0,4.0,3.0,0
88.0,508.0,2.0,2.0,348.0,358.0,1389763.78,7874.015748,0.0,0.0,2.0,3.0,0
53.0,179.0,2.0,2.0,64.0,158.0,1240223.464,22346.36872,0.0,0.0,1.0,1.0,0
53.0,161.0,2.0,2.0,64.0,158.0,1378881.988,24844.7205,0.0,0.0,1.0,1.0,0
53.0,179.0,2.0,2.0,80.0,180.0,1452513.966,22346.36872,0.0,0.0,3.0,4.0,0
53.0,154.0,2.0,2.0,64.0,96.0,1038961.039,25974.02597,0.0,0.0,3.0,3.0,0
53.0,231.0,2.0,2.0,88.0,188.0,1194805.195,17316.01732,0.0,0.0,1.0,1.0,0
53.0,194.0,2.0,2.0,88.0,188.0,1422680.412,20618.5567,0.0,0.0,48.0,4.0,0
53.0,166.0,2.0,2.0,88.0,188.0,1662650.602,24096.38554,0.0,0.0,48.0,3.0,0
53.0,181.0,2.0,2.0,142.0,242.0,2121546.961,22099.44751,0.0,0.0,3.0,48.0,0
53.0,177.0,2.0,2.0,102.0,224.0,1841807.91,22598.87006,0.0,0.0,3.0,4.0,0
53.0,168.0,2.0,2.0,64.0,96.0,952380.9524,23809.52381,0.0,0.0,3.0,3.0,0
53.0,303.0,2.0,2.0,102.0,224.0,1075907.591,13201.32013,0.0,0.0,3.0,184.0,0
53.0,173.0,2.0,2.0,64.0,96.0,924855.4913,23121.38728,0.0,0.0,3.0,3.0,0
53.0,163.0,2.0,2.0,88.0,188.0,1693251.534,24539.8773,0.0,0.0,4.0,4.0,0
53.0,205.0,2.0,2.0,64.0,158.0,1082926.829,19512.19512,0.0,0.0,37.0,5.0,0
53.0,178.0,2.0,2.0,68.0,132.0,1123595.506,22471.91011,0.0,0.0,4.0,3.0,0
53.0,169.0,2.0,2.0,64.0,96.0,946745.5621,23668.63905,0.0,0.0,4.0,4.0,0
53.0,163.0,2.0,2.0,102.0,224.0,2000000.0,24539.8773,0.0,0.0,3.0,47.0,0
53.0,204.0,2.0,2.0,88.0,188.0,1352941.176,19607.84314,0.0,0.0,47.0,49.0,0
53.0,171.0,2.0,2.0,54.0,54.0,631578.9474,23391.81287,0.0,0.0,47.0,4.0,0
88.0,365.0,2.0,2.0,348.0,358.0,1934246.575,10958.90411,0.0,0.0,4.0,4.0,0
88.0,852.0,2.0,2.0,496.0,2820.0,3892018.779,4694.835681,0.0,0.0,48.0,4.0,0
53.0,160.0,2.0,2.0,88.0,188.0,1725000.0,25000.0,0.0,0.0,4.0,3.0,0
53.0,233.0,2.0,2.0,64.0,158.0,952789.6996,17167.38197,0.0,0.0,1.0,49.0,0
53.0,163.0,2.0,2.0,88.0,188.0,1693251.534,24539.8773,0.0,0.0,3.0,4.0,0
53.0,175.0,2.0,2.0,64.0,96.0,914285.7143,22857.14286,0.0,0.0,4.0,3.0,0
53.0,191.0,2.0,2.0,46.0,196.0,1267015.707,20942.40838,0.0,0.0,49.0,3.0,0
53.0,169.0,2.0,2.0,102.0,224.0,1928994.083,23668.63905,0.0,0.0,3.0,4.0,0
53.0,227.0,2.0,2.0,88.0,188.0,1215859.031,17621.14537,0.0,0.0,3.0,3.0,0
34930.0,50.0,4.0,0.0,12.0,0.0,240000.0,80000.0,0.0,1.0,16.66666667,0.0,0
53.0,232.0,2.0,2.0,64.0,158.0,956896.5517,17241.37931,0.0,0.0,1.0,49.0,0
88.0,969.0,2.0,2.0,2944.0,578.0,3634674.923,4127.966976,0.0,0.0,41.0,4.0,0
53.0,165.0,2.0,2.0,102.0,224.0,1975757.576,24242.42424,0.0,0.0,3.0,48.0,0
53.0,206.0,2.0,2.0,102.0,224.0,1582524.272,19417.47573,0.0,0.0,4.0,48.0,0
53.0,201.0,2.0,2.0,88.0,188.0,1373134.328,19900.49751,0.0,0.0,48.0,48.0,0
53.0,108.0,2.0,2.0,102.0,224.0,3018518.519,37037.03704,0.0,0.0,1.0,1.0,0
88.0,77.0,1.0,4.0,0.0,12.0,155844.1558,64935.06494,0.0,1.0,0.0,24.33333333,0
53.0,205.0,2.0,2.0,80.0,180.0,1268292.683,19512.19512,0.0,0.0,48.0,48.0,0
53.0,150.0,2.0,2.0,80.0,180.0,1733333.333,26666.66667,0.0,0.0,4.0,4.0,0
53.0,159.0,2.0,2.0,88.0,188.0,1735849.057,25157.2327,0.0,0.0,2.0,2.0,0
53.0,302.0,2.0,2.0,102.0,224.0,1079470.199,13245.03311,0.0,0.0,4.0,185.0,0
53.0,255.0,2.0,2.0,68.0,132.0,784313.7255,15686.27451,0.0,0.0,5.0,3.0,0
88.0,492.0,2.0,2.0,364.0,358.0,1467479.675,8130.081301,0.0,0.0,4.0,3.0,0
34936.0,5.0,4.0,0.0,12.0,0.0,2400000.0,800000.0,0.0,1.0,1.666666667,0.0,0
88.0,77.0,1.0,4.0,0.0,12.0,155844.1558,64935.06494,0.0,1.0,0.0,24.66666667,0
53.0,143.0,2.0,2.0,64.0,96.0,1118881.119,27972.02797,0.0,0.0,4.0,4.0,0
53.0,155.0,2.0,2.0,88.0,188.0,1780645.161,25806.45161,0.0,0.0,4.0,3.0,0
53.0,297.0,2.0,2.0,102.0,224.0,1097643.098,13468.01347,0.0,0.0,4.0,184.0,0
53.0,167.0,2.0,2.0,88.0,188.0,1652694.611,23952.09581,0.0,0.0,3.0,4.0,0
88.0,974.0,2.0,2.0,2944.0,674.0,3714579.055,4106.776181,0.0,0.0,6.0,3.0,0
53.0,249.0,2.0,2.0,64.0,158.0,891566.2651,16064.25703,0.0,0.0,0.0,1.0,0
53.0,174.0,2.0,2.0,138.0,238.0,2160919.54,22988.50575,0.0,0.0,3.0,48.0,0
53.0,178.0,2.0,2.0,88.0,188.0,1550561.798,22471.91011,0.0,0.0,2.0,4.0,0
53.0,171.0,2.0,2.0,64.0,158.0,1298245.614,23391.81287,0.0,0.0,2.0,1.0,0
53.0,154.0,2.0,2.0,88.0,188.0,1792207.792,25974.02597,0.0,0.0,3.0,4.0,0
88.0,716.0,2.0,2.0,496.0,2820.0,4631284.916,5586.592179,0.0,0.0,48.0,4.0,0
53.0,236.0,2.0,2.0,68.0,190.0,1093220.339,16949.15254,0.0,0.0,1.0,49.0,0
53.0,164.0,2.0,2.0,64.0,158.0,1353658.537,24390.2439,0.0,0.0,1.0,6.0,0
53.0,215.0,2.0,2.0,68.0,190.0,1200000.0,18604.65116,0.0,0.0,1.0,11.0,0
53.0,206.0,2.0,2.0,68.0,132.0,970873.7864,19417.47573,0.0,0.0,3.0,3.0,0
123.0,74025020.0,7.0,6.0,336.0,288.0,8.429582322,0.175616298,0.0,0.0,12300000.0,2000173.8,0
123.0,67093886.0,2.0,2.0,96.0,96.0,2.861661642,0.059617951,0.0,0.0,67000000.0,67000000.0,0
123.0,69106834.0,7.0,6.0,336.0,288.0,9.029497719,0.188114536,0.0,0.0,11500000.0,13800000.0,0
0.0,34989714.0,5.0,0.0,0.0,0.0,0.0,0.142899139,0.0,0.0,8747428.5,0.0,0
5355.0,410379.0,20.0,0.0,560.0,0.0,1364.592243,48.73543724,0.0,0.0,21598.89474,0.0,0
123.0,4015886.0,3.0,3.0,144.0,144.0,71.71518315,1.494066316,0.0,0.0,1999947.5,1999709.5,0
123.0,72122013.0,9.0,9.0,432.0,432.0,11.9796989,0.24957706,0.0,0.0,9000129.375,9000195.875,0
53.0,4769087.0,6.0,6.0,204.0,570.0,162.295215,2.516204884,0.0,0.0,398445.6,543007.6,0
53.0,252.0,2.0,2.0,78.0,206.0,1126984.127,15873.01587,0.0,0.0,4.0,4.0,0
53.0,260.0,2.0,2.0,78.0,188.0,1023076.923,15384.61538,0.0,0.0,1.0,1.0,0
123.0,69105833.0,8.0,8.0,384.0,384.0,11.11338894,0.231528936,0.0,0.0,9856727.571,9856701.429,0
123.0,72012337.0,8.0,8.0,384.0,384.0,10.66483928,0.222184152,0.0,0.0,10300000.0,10300000.0,0
53.0,286.0,2.0,2.0,78.0,188.0,930069.9301,13986.01399,0.0,0.0,1.0,49.0,0
53.0,231.0,2.0,2.0,78.0,206.0,1229437.229,17316.01732,0.0,0.0,4.0,4.0,0
