timestamp,user_id,role,action,resource,success,hour_of_day,day_of_week,is_anomaly
2026-04-01T04:47:06,u_0015,Admin,db_query,admin/groups,1,4,2,0
2026-04-01T05:04:42,u_0025,Support,file_access,docs/support,1,5,2,0
2026-04-01T05:11:43,u_0005,Support,file_upload,support/tickets,1,4,2,0
2026-04-01T05:11:52,u_0031,Admin,db_query,admin/users,1,4,2,0
2026-04-01T05:13:29,u_0025,Support,db_query,support/kb,1,4,2,0
2026-04-01T05:17:30,u_0024,Admin,login,admin/config,1,4,2,0
2026-04-01T05:20:15,u_0044,Support,login,monitoring,1,4,2,0
2026-04-01T05:20:35,u_0029,Support,file_access,monitoring,1,4,2,0
2026-04-01T05:35:46,u_0015,Admin,config_change,admin/security,1,5,2,0
2026-04-01T05:41:20,u_0023,Admin,file_access,admin/security,1,5,2,0
2026-04-01T05:43:56,u_0015,Admin,login,admin/groups,1,5,2,0
2026-04-01T05:52:16,u_0040,Admin,file_access,admin/security,1,5,2,0
2026-04-01T06:00:59,u_0048,Admin,file_access,admin/logs,1,5,2,0
2026-04-01T06:18:02,u_0028,Admin,file_download,admin/users,0,5,2,0
2026-04-01T06:18:53,u_0040,Admin,file_upload,admin/config,1,5,2,0
2026-04-01T06:19:27,u_0023,Admin,db_write,admin/config,1,6,2,0
2026-04-01T06:24:58,u_0023,Admin,file_download,admin/config,1,5,2,0
2026-04-01T06:25:49,u_0015,Admin,login,admin/audit,1,5,2,0
2026-04-01T06:30:22,u_0040,Admin,file_access,admin/audit,1,6,2,0
2026-04-01T06:46:39,u_0048,Admin,login,admin/security,1,6,2,0
2026-04-01T06:49:39,u_0024,Admin,file_upload,admin/audit,1,5,2,0
2026-04-01T06:51:01,u_0031,Admin,config_change,admin/audit,1,6,2,0
2026-04-01T06:54:58,u_0014,Admin,db_query,admin/audit,1,6,2,0
2026-04-01T06:57:58,u_0006,Support,file_access,support/customers,1,6,2,0
2026-04-01T07:04:14,u_0015,Admin,db_query,admin/audit,1,6,2,0
2026-04-01T07:19:09,u_0024,Admin,file_access,admin/audit,1,6,2,0
2026-04-01T07:23:24,u_0029,Support,db_query,support/kb,1,7,2,0
2026-04-01T07:23:47,u_0015,Admin,file_access,admin/logs,1,6,2,0
2026-04-01T07:28:34,u_0027,Support,db_query,monitoring,1,6,2,0
2026-04-01T07:32:18,u_0048,Admin,file_download,admin/security,1,6,2,0
2026-04-01T07:43:44,u_0044,Support,file_upload,support/tickets,1,7,2,0
2026-04-01T07:45:14,u_0023,Admin,file_access,admin/config,1,7,2,0
2026-04-01T07:53:04,u_0040,Admin,db_query,admin/audit,1,7,2,0
2026-04-01T07:59:12,u_0040,Admin,file_access,admin/audit,1,7,2,0
2026-04-01T08:04:14,u_0040,Admin,file_access,admin/logs,1,8,2,0
2026-04-01T08:04:19,u_0040,Admin,file_access,admin/audit,1,7,2,0
2026-04-01T08:13:22,u_0014,Admin,file_access,admin/security,1,7,2,0
2026-04-01T08:25:00,u_0031,Admin,db_query,admin/config,1,8,2,0
2026-04-01T08:37:20,u_0031,Admin,file_download,admin/config,1,8,2,0
2026-04-01T08:38:58,u_0014,Admin,file_access,admin/audit,1,8,2,0
2026-04-01T08:41:53,u_0048,Admin,login,admin/config,1,8,2,0
2026-04-01T08:47:20,u_0014,Admin,file_access,admin/audit,1,8,2,0
2026-04-01T08:48:23,u_0015,Admin,file_access,admin/users,1,8,2,0
2026-04-01T08:51:05,u_0025,Support,login,support/tickets,1,8,2,0
2026-04-01T09:10:10,u_0013,Sales,db_query,sales/crm,1,9,2,0
2026-04-01T09:12:35,u_0004,Sales,db_query,docs/sales,1,9,2,0
2026-04-01T09:15:53,u_0007,Engineer,db_query,db/dev,1,9,2,0
2026-04-01T09:16:38,u_0030,Sales,file_access,sales/leads,1,9,2,0
2026-04-01T09:16:42,u_0012,Marketing,privilege_change,docs/marketing,1,9,2,0
2026-04-01T09:17:17,u_0041,Sales,file_access,sales/contracts,1,9,2,0
2026-04-01T09:17:37,u_0024,Admin,db_query,admin/config,1,8,2,0
2026-04-01T09:18:02,u_0015,Admin,db_query,admin/audit,1,8,2,0
2026-04-01T09:27:38,u_0004,Sales,file_access,sales/crm,1,9,2,0
2026-04-01T09:31:08,u_0038,Sales,file_access,sales/contracts,1,9,2,0
2026-04-01T09:34:20,u_0000,Sales,file_access,sales/leads,1,9,2,0
2026-04-01T09:36:41,u_0012,Marketing,file_access,marketing/analytics,1,9,2,0
2026-04-01T09:37:55,u_0038,Sales,file_download,sales/contracts,1,9,2,0
2026-04-01T09:40:46,u_0036,Engineer,file_access,repo/shared,1,9,2,0
2026-04-01T09:40:51,u_0031,Admin,file_download,admin/groups,1,8,2,0
2026-04-01T09:41:19,u_0041,Sales,db_query,docs/sales,1,9,2,0
2026-04-01T09:43:06,u_0002,HR,file_upload,docs/hr,1,9,2,0
2026-04-01T09:46:59,u_0036,Engineer,login,jira,1,9,2,0
2026-04-01T09:49:37,u_0008,Engineer,login,ci/cd,1,9,2,0
2026-04-01T09:49:59,u_0049,Sales,login,docs/sales,1,9,2,0
2026-04-01T09:50:42,u_0045,Engineer,login,ci/cd,1,9,2,0
2026-04-01T09:50:48,u_0008,Engineer,file_access,ci/cd,1,9,2,0
2026-04-01T09:50:48,u_0042,Sales,login,docs/sales,1,9,2,0
2026-04-01T09:51:12,u_0013,Sales,login,sales/leads,1,9,2,0
2026-04-01T09:52:00,u_0015,Admin,file_access,admin/logs,1,9,2,0
2026-04-01T09:52:06,u_0007,Engineer,db_query,ci/cd,1,9,2,0
2026-04-01T09:53:19,u_0031,Admin,login,admin/users,1,9,2,0
2026-04-01T09:56:26,u_0036,Engineer,file_access,monitoring,1,9,2,0
2026-04-01T09:58:44,u_0045,Engineer,file_access,confluence,1,9,2,0
2026-04-01T09:59:09,u_0015,Admin,file_access,admin/audit,1,9,2,0
2026-04-01T10:02:00,u_0010,Support,file_upload,support/tickets,1,10,2,0
2026-04-01T10:03:11,u_0026,Engineer,login,db/dev,1,9,2,0
2026-04-01T10:03:37,u_0003,Engineer,db_query,repo/internal,1,9,2,0
2026-04-01T10:04:30,u_0023,Admin,file_access,admin/users,1,9,2,0
2026-04-01T10:05:35,u_0047,Engineer,db_query,ci/cd,1,9,2,0
2026-04-01T10:06:09,u_0002,HR,file_access,payroll/viewer,1,9,2,0
2026-04-01T10:06:51,u_0038,Sales,file_access,docs/sales,1,9,2,0
2026-04-01T10:07:02,u_0014,Admin,db_query,admin/security,1,9,2,0
2026-04-01T10:07:12,u_0045,Engineer,file_access,repo/internal,1,10,2,0
2026-04-01T10:08:07,u_0003,Engineer,file_download,repo/internal,1,9,2,0
2026-04-01T10:08:10,u_0006,Support,login,support/kb,1,9,2,0
2026-04-01T10:08:47,u_0046,Marketing,file_access,marketing/analytics,1,9,2,0
2026-04-01T10:09:33,u_0038,Sales,config_change,sales/reports,1,10,2,0
2026-04-01T10:10:16,u_0045,Engineer,login,repo/internal,1,9,2,0
2026-04-01T10:10:35,u_0047,Engineer,file_upload,docs/tech,1,9,2,0
2026-04-01T10:10:51,u_0008,Engineer,file_access,docs/tech,1,9,2,0
2026-04-01T10:12:01,u_0046,Marketing,login,docs/marketing,1,10,2,0
2026-04-01T10:15:06,u_0034,Marketing,login,docs/marketing,1,10,2,0
2026-04-01T10:15:56,u_0033,Engineer,db_query,repo/internal,1,9,2,0
2026-04-01T10:16:22,u_0003,Engineer,db_query,jira,1,9,2,0
2026-04-01T10:16:58,u_0047,Engineer,file_download,docs/tech,1,9,2,0
2026-04-01T10:17:10,u_0048,Admin,file_access,admin/audit,0,9,2,0
2026-04-01T10:17:11,u_0045,Engineer,login,db/dev,1,10,2,0
2026-04-01T10:17:12,u_0034,Marketing,login,marketing/campaigns,0,9,2,0
2026-04-01T10:19:00,u_0040,Admin,file_access,admin/audit,1,10,2,0
2026-04-01T10:19:18,u_0003,Engineer,db_query,monitoring,1,9,2,0
2026-04-01T10:20:36,u_0034,Marketing,file_access,docs/marketing,1,10,2,0
2026-04-01T10:20:59,u_0003,Engineer,db_query,ci/cd,1,10,2,0
2026-04-01T10:22:07,u_0001,Engineer,file_download,repo/shared,1,10,2,0
2026-04-01T10:22:41,u_0045,Engineer,file_access,repo/shared,1,10,2,0
2026-04-01T10:22:45,u_0026,Engineer,file_download,ci/cd,1,9,2,0
2026-04-01T10:23:21,u_0015,Admin,file_access,admin/audit,1,9,2,0
2026-04-01T10:23:36,u_0028,Admin,file_access,admin/logs,1,9,2,0
2026-04-01T10:23:37,u_0036,Engineer,db_query,db/dev,0,10,2,0
2026-04-01T10:23:49,u_0009,HR,file_access,docs/hr,1,10,2,0
2026-04-01T10:24:17,u_0018,Sales,file_access,docs/sales,1,10,2,0
2026-04-01T10:24:25,u_0045,Engineer,db_query,jira,1,10,2,0
2026-04-01T10:25:29,u_0012,Marketing,login,docs/marketing,0,9,2,0
2026-04-01T10:25:52,u_0004,Sales,db_query,sales/contracts,1,9,2,0
2026-04-01T10:25:56,u_0039,Engineer,login,jira,1,10,2,0
2026-04-01T10:26:03,u_0030,Sales,file_access,docs/sales,1,9,2,0
2026-04-01T10:26:57,u_0003,Engineer,file_access,docs/tech,1,9,2,0
2026-04-01T10:27:34,u_0036,Engineer,file_access,db/dev,1,10,2,0
2026-04-01T10:27:56,u_0046,Marketing,login,marketing/analytics,1,9,2,0
2026-04-01T10:29:15,u_0036,Engineer,login,ci/cd,1,9,2,0
2026-04-01T10:29:42,u_0044,Support,db_write,support/customers,1,10,2,0
2026-04-01T10:32:39,u_0004,Sales,db_query,sales/reports,1,9,2,0
2026-04-01T10:33:58,u_0012,Marketing,db_write,marketing/campaigns,1,10,2,0
2026-04-01T10:34:18,u_0004,Sales,file_download,docs/sales,1,10,2,0
2026-04-01T10:34:23,u_0049,Sales,login,docs/sales,0,10,2,0
2026-04-01T10:34:37,u_0035,Engineer,file_download,confluence,1,10,2,0
2026-04-01T10:35:16,u_0030,Sales,file_access,sales/leads,1,10,2,0
2026-04-01T10:37:19,u_0020,Engineer,db_query,db/dev,1,9,2,0
2026-04-01T10:37:26,u_0036,Engineer,login,monitoring,1,9,2,0
2026-04-01T10:37:46,u_0022,Engineer,file_access,ci/cd,1,9,2,0
2026-04-01T10:39:55,u_0004,Sales,file_access,sales/crm,1,10,2,0
2026-04-01T10:41:32,u_0004,Sales,file_access,docs/sales,1,10,2,0
2026-04-01T10:42:03,u_0036,Engineer,db_query,db/dev,1,9,2,0
2026-04-01T10:43:06,u_0016,Finance,db_query,finance/erp,1,9,2,0
2026-04-01T10:43:28,u_0007,Engineer,db_write,ci/cd,1,9,2,0
2026-04-01T10:43:37,u_0026,Engineer,file_access,monitoring,1,10,2,0
2026-04-01T10:44:08,u_0022,Engineer,privilege_change,jira,1,10,2,0
2026-04-01T10:44:24,u_0036,Engineer,file_access,db/dev,1,10,2,0
2026-04-01T10:44:39,u_0015,Admin,login,admin/groups,1,9,2,0
2026-04-01T10:44:42,u_0008,Engineer,file_download,repo/internal,0,10,2,0
2026-04-01T10:44:50,u_0013,Sales,file_access,docs/sales,1,10,2,0
2026-04-01T10:44:57,u_0047,Engineer,db_query,db/dev,1,10,2,0
2026-04-01T10:45:33,u_0039,Engineer,db_query,db/dev,1,10,2,0
2026-04-01T10:45:37,u_0031,Admin,file_access,admin/security,1,9,2,0
2026-04-01T10:46:32,u_0009,HR,file_access,timesheets,1,10,2,0
2026-04-01T10:46:51,u_0003,Engineer,db_query,confluence,1,10,2,0
2026-04-01T10:47:07,u_0009,HR,file_download,docs/hr,1,10,2,0
2026-04-01T10:48:32,u_0038,Sales,file_download,sales/crm,1,10,2,0
2026-04-01T10:50:03,u_0015,Admin,file_download,admin/config,1,9,2,0
2026-04-01T10:50:21,u_0002,HR,login,hr/dashboard,1,10,2,0
2026-04-01T10:50:24,u_0015,Admin,file_access,admin/logs,1,10,2,0
2026-04-01T10:50:52,u_0015,Admin,login,admin/logs,1,9,2,0
2026-04-01T10:51:03,u_0003,Engineer,file_access,db/dev,1,10,2,0
2026-04-01T10:51:49,u_0007,Engineer,file_access,monitoring,1,10,2,0
2026-04-01T10:52:01,u_0012,Marketing,file_access,marketing/assets,1,10,2,0
2026-04-01T10:52:55,u_0036,Engineer,file_download,repo/shared,1,10,2,0
2026-04-01T10:55:11,u_0030,Sales,db_query,sales/crm,1,10,2,0
2026-04-01T10:56:28,u_0037,Finance,file_access,finance/reports,1,10,2,0
2026-04-01T10:56:35,u_0008,Engineer,db_query,repo/internal,1,10,2,0
2026-04-01T10:56:45,u_0015,Admin,file_access,admin/users,1,10,2,0
2026-04-01T10:57:06,u_0030,Sales,db_write,sales/crm,1,10,2,0
2026-04-01T10:58:17,u_0003,Engineer,file_access,docs/tech,1,10,2,0
2026-04-01T10:58:23,u_0028,Admin,file_access,admin/config,1,10,2,0
2026-04-01T10:58:39,u_0042,Sales,file_access,docs/sales,1,10,2,0
2026-04-01T11:00:13,u_0036,Engineer,db_query,db/dev,1,10,2,0
2026-04-01T11:02:32,u_0039,Engineer,db_write,db/dev,1,10,2,0
2026-04-01T11:03:36,u_0024,Admin,login,admin/logs,1,10,2,0
2026-04-01T11:06:21,u_0045,Engineer,db_query,repo/internal,1,10,2,0
2026-04-01T11:07:59,u_0043,Sales,db_query,sales/contracts,1,10,2,0
2026-04-01T11:08:57,u_0042,Sales,db_query,docs/sales,1,11,2,0
2026-04-01T11:11:54,u_0039,Engineer,db_query,repo/internal,1,10,2,0
2026-04-01T11:13:45,u_0045,Engineer,file_upload,db/dev,1,10,2,0
2026-04-01T11:14:05,u_0047,Engineer,db_query,repo/internal,1,10,2,0
2026-04-01T11:14:21,u_0043,Sales,login,sales/contracts,1,11,2,0
2026-04-01T11:14:33,u_0032,Engineer,db_query,jira,1,10,2,0
2026-04-01T11:15:25,u_0018,Sales,file_access,sales/reports,1,10,2,0
2026-04-01T11:17:23,u_0041,Sales,file_access,sales/reports,1,10,2,0
2026-04-01T11:18:19,u_0014,Admin,file_access,admin/logs,1,10,2,0
2026-04-01T11:18:51,u_0045,Engineer,file_access,repo/internal,1,10,2,0
2026-04-01T11:19:38,u_0045,Engineer,file_access,ci/cd,1,10,2,0
2026-04-01T11:20:32,u_0007,Engineer,file_access,db/dev,1,11,2,0
2026-04-01T11:20:38,u_0002,HR,db_write,hr/dashboard,1,10,2,0
2026-04-01T11:20:55,u_0043,Sales,login,sales/contracts,1,11,2,0
2026-04-01T11:21:10,u_0033,Engineer,db_query,docs/tech,1,11,2,0
2026-04-01T11:21:51,u_0036,Engineer,file_upload,jira,1,11,2,0
2026-04-01T11:21:53,u_0045,Engineer,file_access,ci/cd,1,11,2,0
2026-04-01T11:23:31,u_0008,Engineer,db_query,repo/shared,1,11,2,0
2026-04-01T11:23:46,u_0035,Engineer,db_query,docs/tech,1,11,2,0
2026-04-01T11:24:56,u_0024,Admin,file_access,admin/config,1,10,2,0
2026-04-01T11:25:57,u_0031,Admin,db_query,admin/groups,1,10,2,0
2026-04-01T11:29:00,u_0002,HR,db_query,calendar,1,11,2,0
2026-04-01T11:31:11,u_0018,Sales,file_download,sales/contracts,1,10,2,0
2026-04-01T11:32:08,u_0046,Marketing,file_access,marketing/social,1,11,2,0
2026-04-01T11:34:11,u_0031,Admin,login,admin/config,1,10,2,0
2026-04-01T11:35:31,u_0033,Engineer,db_write,repo/internal,1,11,2,0
2026-04-01T11:37:26,u_0003,Engineer,file_access,monitoring,1,11,2,0
2026-04-01T11:38:03,u_0008,Engineer,file_access,db/dev,1,11,2,0
2026-04-01T11:38:59,u_0038,Sales,login,docs/sales,1,11,2,0
2026-04-01T11:41:13,u_0020,Engineer,file_access,db/dev,1,11,2,0
2026-04-01T11:41:28,u_0045,Engineer,config_change,repo/internal,1,11,2,0
2026-04-01T11:43:13,u_0045,Engineer,file_upload,repo/shared,1,11,2,0
2026-04-01T11:44:09,u_0035,Engineer,login,repo/shared,1,11,2,0
2026-04-01T11:45:20,u_0036,Engineer,db_query,docs/tech,1,11,2,0
2026-04-01T11:45:40,u_0043,Sales,login,sales/crm,1,11,2,0
2026-04-01T11:46:52,u_0036,Engineer,file_access,docs/tech,1,11,2,0
2026-04-01T11:47:32,u_0038,Sales,file_download,sales/crm,1,11,2,0
2026-04-01T11:47:49,u_0024,Admin,file_download,admin/users,1,11,2,0
2026-04-01T11:48:07,u_0039,Engineer,file_access,confluence,1,10,2,0
2026-04-01T11:48:39,u_0039,Engineer,privilege_change,repo/shared,1,11,2,0
2026-04-01T11:49:31,u_0038,Sales,file_access,sales/leads,1,10,2,0
2026-04-01T11:49:40,u_0026,Engineer,db_write,jira,1,11,2,0
2026-04-01T11:50:12,u_0008,Engineer,db_query,jira,1,11,2,0
2026-04-01T11:50:18,u_0049,Sales,file_access,docs/sales,1,11,2,0
2026-04-01T11:51:12,u_0002,HR,db_query,hr/employee_db,0,11,2,0
2026-04-01T11:51:27,u_0013,Sales,file_download,sales/leads,1,11,2,0
2026-04-01T11:51:49,u_0045,Engineer,file_download,monitoring,1,11,2,0
2026-04-01T11:52:02,u_0015,Admin,login,admin/logs,1,11,2,0
2026-04-01T11:54:40,u_0042,Sales,login,docs/sales,1,10,2,0
2026-04-01T11:56:20,u_0046,Marketing,file_access,marketing/assets,1,11,2,0
2026-04-01T11:56:27,u_0008,Engineer,file_access,monitoring,1,11,2,0
2026-04-01T11:57:27,u_0026,Engineer,file_access,repo/internal,1,11,2,0
2026-04-01T11:59:29,u_0019,Finance,file_access,finance/invoices,1,11,2,0
2026-04-01T12:03:45,u_0022,Engineer,db_query,monitoring,1,11,2,0
2026-04-01T12:04:57,u_0019,Finance,file_upload,finance/invoices,1,11,2,0
2026-04-01T12:05:10,u_0004,Sales,file_upload,sales/contracts,1,11,2,0
2026-04-01T12:07:27,u_0008,Engineer,db_query,repo/shared,1,11,2,0
2026-04-01T12:07:37,u_0007,Engineer,file_download,repo/shared,1,12,2,0
2026-04-01T12:09:57,u_0012,Marketing,login,marketing/assets,1,12,2,0
2026-04-01T12:10:55,u_0032,Engineer,login,jira,1,11,2,0
2026-04-01T12:11:03,u_0006,Support,file_upload,docs/support,1,11,2,0
2026-04-01T12:12:36,u_0038,Sales,login,sales/crm,1,12,2,0
2026-04-01T12:13:20,u_0026,Engineer,db_write,ci/cd,0,11,2,0
2026-04-01T12:13:32,u_0045,Engineer,file_access,confluence,1,11,2,0
2026-04-01T12:14:28,u_0002,HR,file_upload,hr/employee_db,1,11,2,0
2026-04-01T12:15:08,u_0023,Admin,file_access,admin/groups,1,11,2,0
2026-04-01T12:15:45,u_0009,HR,config_change,docs/hr,1,11,2,0
2026-04-01T12:16:03,u_0026,Engineer,file_download,repo/internal,1,11,2,0
2026-04-01T12:16:22,u_0008,Engineer,file_download,repo/shared,1,11,2,0
2026-04-01T12:16:56,u_0001,Engineer,db_query,monitoring,1,12,2,0
2026-04-01T12:17:16,u_0026,Engineer,file_access,monitoring,1,11,2,0
2026-04-01T12:19:50,u_0026,Engineer,file_access,ci/cd,1,11,2,0
2026-04-01T12:20:57,u_0004,Sales,file_access,sales/reports,1,11,2,0
2026-04-01T12:21:35,u_0018,Sales,file_access,sales/contracts,1,12,2,0
2026-04-01T12:21:38,u_0002,HR,file_download,hr/employee_db,1,12,2,0
2026-04-01T12:22:59,u_0023,Admin,db_query,admin/config,1,12,2,0
2026-04-01T12:24:36,u_0002,HR,db_query,payroll/viewer,1,12,2,0
2026-04-01T12:26:20,u_0036,Engineer,file_access,db/dev,1,11,2,0
2026-04-01T12:26:39,u_0004,Sales,db_write,sales/crm,1,12,2,0
2026-04-01T12:28:28,u_0043,Sales,login,sales/crm,1,11,2,0
2026-04-01T12:28:52,u_0020,Engineer,login,repo/internal,1,12,2,0
2026-04-01T12:29:18,u_0042,Sales,db_query,sales/crm,1,12,2,0
2026-04-01T12:31:20,u_0001,Engineer,db_query,ci/cd,1,11,2,0
2026-04-01T12:32:03,u_0042,Sales,file_access,sales/reports,1,12,2,0
2026-04-01T12:34:48,u_0033,Engineer,login,repo/internal,1,12,2,0
2026-04-01T12:34:59,u_0007,Engineer,file_upload,db/dev,1,12,2,0
2026-04-01T12:35:44,u_0047,Engineer,file_download,db/dev,1,11,2,0
2026-04-01T12:35:45,u_0034,Marketing,file_access,marketing/campaigns,1,12,2,0
2026-04-01T12:36:05,u_0021,Marketing,db_query,marketing/campaigns,1,12,2,0
2026-04-01T12:36:13,u_0021,Marketing,login,marketing/analytics,1,12,2,0
2026-04-01T12:36:21,u_0047,Engineer,file_access,monitoring,1,11,2,0
2026-04-01T12:36:22,u_0004,Sales,file_access,sales/contracts,1,12,2,0
2026-04-01T12:37:13,u_0046,Marketing,file_access,marketing/social,1,12,2,0
2026-04-01T12:37:53,u_0019,Finance,file_access,db/finance,1,12,2,0
2026-04-01T12:39:23,u_0012,Marketing,file_access,docs/marketing,1,12,2,0
2026-04-01T12:40:13,u_0007,Engineer,file_download,ci/cd,1,12,2,0
2026-04-01T12:40:19,u_0001,Engineer,db_query,repo/shared,1,12,2,0
2026-04-01T12:40:52,u_0028,Admin,login,admin/security,1,12,2,0
2026-04-01T12:42:05,u_0026,Engineer,file_upload,monitoring,1,11,2,0
2026-04-01T12:42:09,u_0009,HR,file_access,docs/hr,1,12,2,0
2026-04-01T12:42:12,u_0036,Engineer,db_query,repo/internal,1,12,2,0
2026-04-01T12:42:48,u_0021,Marketing,db_query,marketing/analytics,0,11,2,0
2026-04-01T12:42:58,u_0009,HR,login,docs/hr,1,12,2,0
2026-04-01T12:43:08,u_0039,Engineer,db_query,ci/cd,1,12,2,0
2026-04-01T12:44:02,u_0012,Marketing,file_upload,marketing/campaigns,1,12,2,0
2026-04-01T12:44:43,u_0001,Engineer,file_access,monitoring,1,12,2,0
2026-04-01T12:48:36,u_0045,Engineer,file_access,repo/internal,1,12,2,0
2026-04-01T12:49:15,u_0035,Engineer,login,monitoring,1,12,2,0
2026-04-01T12:49:53,u_0039,Engineer,privilege_change,confluence,1,12,2,0
2026-04-01T12:50:43,u_0042,Sales,file_access,docs/sales,1,12,2,0
2026-04-01T12:51:42,u_0020,Engineer,file_access,db/dev,1,12,2,0
2026-04-01T12:52:13,u_0046,Marketing,file_download,marketing/assets,1,12,2,0
2026-04-01T12:52:29,u_0020,Engineer,db_query,repo/shared,1,12,2,0
2026-04-01T12:55:07,u_0045,Engineer,file_access,docs/tech,1,12,2,0
2026-04-01T12:58:02,u_0049,Sales,file_upload,sales/contracts,1,12,2,0
2026-04-01T13:00:10,u_0042,Sales,db_query,sales/crm,1,12,2,0
2026-04-01T13:00:20,u_0026,Engineer,file_access,jira,1,12,2,0
2026-04-01T13:01:03,u_0003,Engineer,file_access,db/dev,1,12,2,0
2026-04-01T13:01:07,u_0035,Engineer,login,db/dev,1,12,2,0
2026-04-01T13:01:11,u_0035,Engineer,db_query,repo/shared,1,12,2,0
2026-04-01T13:01:42,u_0024,Admin,db_query,admin/config,1,12,2,0
2026-04-01T13:03:35,u_0026,Engineer,file_access,ci/cd,1,12,2,0
2026-04-01T13:03:49,u_0040,Admin,file_access,admin/audit,1,12,2,0
2026-04-01T13:04:46,u_0042,Sales,db_query,sales/reports,1,12,2,0
2026-04-01T13:05:09,u_0014,Admin,db_write,admin/groups,1,12,2,0
2026-04-01T13:05:20,u_0021,Marketing,file_access,marketing/analytics,1,12,2,0
2026-04-01T13:05:27,u_0021,Marketing,file_access,docs/marketing,1,13,2,0
2026-04-01T13:05:31,u_0046,Marketing,db_write,marketing/assets,1,12,2,0
2026-04-01T13:06:05,u_0014,Admin,db_write,admin/groups,1,12,2,0
2026-04-01T13:06:47,u_0048,Admin,file_download,admin/logs,1,13,2,0
2026-04-01T13:07:37,u_0007,Engineer,file_download,repo/internal,1,12,2,0
2026-04-01T13:08:36,u_0032,Engineer,file_access,repo/internal,1,12,2,0
2026-04-01T13:08:58,u_0004,Sales,file_download,sales/crm,1,12,2,0
2026-04-01T13:09:14,u_0012,Marketing,file_access,marketing/campaigns,1,12,2,0
2026-04-01T13:09:23,u_0028,Admin,login,admin/logs,1,12,2,0
2026-04-01T13:10:56,u_0047,Engineer,login,repo/internal,1,12,2,0
2026-04-01T13:12:15,u_0030,Sales,file_access,sales/crm,1,12,2,0
2026-04-01T13:12:23,u_0001,Engineer,login,confluence,1,12,2,0
2026-04-01T13:13:19,u_0026,Engineer,db_query,repo/internal,0,13,2,0
2026-04-01T13:13:36,u_0037,Finance,file_access,finance/reports,1,13,2,0
2026-04-01T13:17:05,u_0045,Engineer,login,repo/internal,1,12,2,0
2026-04-01T13:17:34,u_0045,Engineer,db_write,repo/internal,1,12,2,0
2026-04-01T13:17:36,u_0026,Engineer,db_query,repo/internal,1,12,2,0
2026-04-01T13:18:31,u_0008,Engineer,db_query,repo/internal,1,13,2,0
2026-04-01T13:18:52,u_0049,Sales,db_query,sales/contracts,1,12,2,0
2026-04-01T13:19:18,u_0042,Sales,file_upload,sales/reports,1,12,2,0
2026-04-01T13:21:07,u_0030,Sales,file_access,docs/sales,1,13,2,0
2026-04-01T13:21:52,u_0033,Engineer,config_change,monitoring,1,12,2,0
2026-04-01T13:22:47,u_0045,Engineer,file_access,confluence,1,13,2,0
2026-04-01T13:23:39,u_0045,Engineer,db_query,confluence,0,12,2,0
2026-04-01T13:24:41,u_0045,Engineer,db_query,monitoring,1,13,2,0
2026-04-01T13:24:54,u_0001,Engineer,db_query,repo/shared,1,12,2,0
2026-04-01T13:26:03,u_0007,Engineer,file_download,repo/internal,1,12,2,0
